Validation,Algorithm,Metric,Mean,Min,Max
K-Fold-Cross-Validation,MLP (10 neuronas),Accuracy,0.7538011695906434,0.7495614035087719,0.7605263157894736
K-Fold-Cross-Validation,MLP (10 neuronas),Precision,0.7538011695906434,0.7495614035087719,0.7605263157894736
K-Fold-Cross-Validation,MLP (10 neuronas),Recall,1.0,1.0,1.0
K-Fold-Cross-Validation,MLP (10 neuronas),Specificity,0.0,0.0,0.0
K-Fold-Cross-Validation,MLP (100 neuronas),Accuracy,0.7548172514619883,0.7486842105263157,0.7614035087719299
K-Fold-Cross-Validation,MLP (100 neuronas),Precision,0.7554972006600758,0.7506578947368421,0.7611111111111112
K-Fold-Cross-Validation,MLP (100 neuronas),Recall,0.9991305208952267,0.9888888888888889,1.0
K-Fold-Cross-Validation,MLP (100 neuronas),Specificity,0.018055555555555557,0.0,0.1
K-Fold-Cross-Validation,MLPDeep (10-10-10),Accuracy,0.7538011695906434,0.7495614035087719,0.7605263157894736
K-Fold-Cross-Validation,MLPDeep (10-10-10),Precision,0.7538011695906434,0.7495614035087719,0.7605263157894736
K-Fold-Cross-Validation,MLPDeep (10-10-10),Recall,1.0,1.0,1.0
K-Fold-Cross-Validation,MLPDeep (10-10-10),Specificity,0.0,0.0,0.0
K-Fold-Cross-Validation,MLPDeep (100-100-100),Accuracy,0.7538011695906434,0.7495614035087719,0.7605263157894736
K-Fold-Cross-Validation,MLPDeep (100-100-100),Precision,0.7538011695906434,0.7495614035087719,0.7605263157894736
K-Fold-Cross-Validation,MLPDeep (100-100-100),Recall,1.0,1.0,1.0
K-Fold-Cross-Validation,MLPDeep (100-100-100),Specificity,0.0,0.0,0.0
K-Fold-Cross-Validation,KNN (k=3),Accuracy,0.8495979532163741,0.8243421052631579,0.8664473684210527
K-Fold-Cross-Validation,KNN (k=3),Precision,0.8844445931748565,0.8658269306373022,0.9035903720462544
K-Fold-Cross-Validation,KNN (k=3),Recall,0.9242490835188205,0.8996574014221073,0.9405677655677657
K-Fold-Cross-Validation,KNN (k=3),Specificity,0.6193994708994708,0.45904761904761904,0.7109523809523809
K-Fold-Cross-Validation,KNN (k=5),Accuracy,0.8549999999999999,0.8339912280701756,0.8717105263157894
K-Fold-Cross-Validation,KNN (k=5),Precision,0.8703634926261626,0.8573770209838321,0.8828283970931029
K-Fold-Cross-Validation,KNN (k=5),Recall,0.9502642499972221,0.9230239368474662,0.9681652661064426
K-Fold-Cross-Validation,KNN (k=5),Specificity,0.5559272486772485,0.4364285714285714,0.6677380952380952
K-Fold-Cross-Validation,KNN (k=27),Accuracy,0.8095687134502924,0.7960526315789473,0.8182017543859649
K-Fold-Cross-Validation,KNN (k=27),Precision,0.803920370561372,0.7903414954498545,0.811173273657289
K-Fold-Cross-Validation,KNN (k=27),Recall,0.9896571337159572,0.9800000000000001,0.9954545454545455
K-Fold-Cross-Validation,KNN (k=27),Specificity,0.257218253968254,0.15619047619047619,0.3553968253968254
