Validation,Algorithm,Metric,Mean,Min,Max
Leave-One-Out,MLP (10 neuronas),Accuracy,0.753846153846154,0.7538461538461538,0.7538461538461538
Leave-One-Out,MLP (10 neuronas),Precision,0.753846153846154,0.7538461538461538,0.7538461538461538
Leave-One-Out,MLP (10 neuronas),Recall,1.0,1.0,1.0
Leave-One-Out,MLP (10 neuronas),Specificity,0.0,0.0,0.0
Leave-One-Out,MLP (100 neuronas),Accuracy,0.753846153846154,0.7538461538461538,0.7538461538461538
Leave-One-Out,MLP (100 neuronas),Precision,0.753846153846154,0.7538461538461538,0.7538461538461538
Leave-One-Out,MLP (100 neuronas),Recall,1.0,1.0,1.0
Leave-One-Out,MLP (100 neuronas),Specificity,0.0,0.0,0.0
Leave-One-Out,MLPDeep (10-10-10),Accuracy,0.753846153846154,0.7538461538461538,0.7538461538461538
Leave-One-Out,MLPDeep (10-10-10),Precision,0.753846153846154,0.7538461538461538,0.7538461538461538
Leave-One-Out,MLPDeep (10-10-10),Recall,1.0,1.0,1.0
Leave-One-Out,MLPDeep (10-10-10),Specificity,0.0,0.0,0.0
Leave-One-Out,MLPDeep (100-100-100),Accuracy,0.753846153846154,0.7538461538461538,0.7538461538461538
Leave-One-Out,MLPDeep (100-100-100),Precision,0.753846153846154,0.7538461538461538,0.7538461538461538
Leave-One-Out,MLPDeep (100-100-100),Recall,1.0,1.0,1.0
Leave-One-Out,MLPDeep (100-100-100),Specificity,0.0,0.0,0.0
Leave-One-Out,KNN (k=3),Accuracy,0.8512820512820514,0.8512820512820513,0.8512820512820513
Leave-One-Out,KNN (k=3),Precision,0.8881578947368423,0.8881578947368421,0.8881578947368421
Leave-One-Out,KNN (k=3),Recall,0.9183673469387758,0.9183673469387755,0.9183673469387755
Leave-One-Out,KNN (k=3),Specificity,0.6458333333333331,0.6458333333333334,0.6458333333333334
Leave-One-Out,KNN (k=5),Accuracy,0.8615384615384617,0.8615384615384616,0.8615384615384616
Leave-One-Out,KNN (k=5),Precision,0.875,0.875,0.875
Leave-One-Out,KNN (k=5),Recall,0.9523809523809523,0.9523809523809523,0.9523809523809523
Leave-One-Out,KNN (k=5),Specificity,0.5833333333333334,0.5833333333333334,0.5833333333333334
Leave-One-Out,KNN (k=27),Accuracy,0.8153846153846156,0.8153846153846154,0.8153846153846154
Leave-One-Out,KNN (k=27),Precision,0.8066298342541435,0.8066298342541437,0.8066298342541437
Leave-One-Out,KNN (k=27),Recall,0.993197278911565,0.9931972789115646,0.9931972789115646
Leave-One-Out,KNN (k=27),Specificity,0.27083333333333326,0.2708333333333333,0.2708333333333333
